,acc
0,0.29565
1,0.4295833333333333
2,0.5324666666666666
3,0.5714166666666667
4,0.6102833333333333
5,0.6344
6,0.6418166666666667
7,0.6558
8,0.66005
9,0.6693166666666667
10,0.6745333333333333
11,0.6791
12,0.68315
13,0.6827
14,0.68925
15,0.6927166666666666
16,0.6979333333333333
17,0.7011333333333334
18,0.7023666666666667
19,0.70475
20,0.7058
21,0.70925
22,0.71175
23,0.7132166666666667
24,0.7144
25,0.7136666666666667
26,0.71545
27,0.7173
28,0.71925
29,0.72095
30,0.7222833333333334
31,0.7234
32,0.7249833333333333
33,0.7270166666666666
34,0.72785
35,0.7287666666666667
36,0.7296666666666667
37,0.73025
38,0.7306166666666667
39,0.7316666666666667
40,0.7325666666666667
41,0.7336666666666667
42,0.73525
43,0.73575
44,0.7367333333333334
45,0.7385833333333334
46,0.7394166666666667
47,0.7403333333333333
48,0.7406166666666667
49,0.7409833333333333
50,0.7416833333333334
51,0.7431333333333333
52,0.7437833333333334
53,0.7446
54,0.7457166666666667
55,0.7463833333333333
56,0.74695
57,0.7482333333333333
58,0.7486833333333334
59,0.749
60,0.7495166666666667
61,0.75005
62,0.75065
63,0.7514333333333333
64,0.7524
65,0.75285
66,0.7539166666666667
67,0.7546333333333334
68,0.7549
69,0.7558833333333334
70,0.7559333333333333
71,0.7566833333333334
72,0.7568166666666667
73,0.7574333333333333
74,0.7577666666666667
75,0.7586833333333334
76,0.7590333333333333
77,0.75995
78,0.7606333333333334
79,0.7609833333333333
80,0.7612166666666667
81,0.7620333333333333
82,0.7620333333333333
83,0.7622666666666666
84,0.7623833333333333
85,0.7628833333333334
86,0.7634833333333333
87,0.7641166666666667
88,0.76425
89,0.76495
90,0.7661
91,0.7661666666666667
92,0.7663333333333333
93,0.7674166666666666
94,0.7676166666666666
95,0.7676333333333333
96,0.7677666666666667
97,0.7682666666666667
98,0.76845
99,0.7692333333333333
